neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,number_of_reviews_ltm
Vadhana,13.746899,100.558998,Entire home/apt,1150,1,218,89,2
Bang Rak,13.73244,100.5216,Private room,1879,1,0,364,0
Vadhana,13.73861,100.57353,Entire home/apt,2000,30,34,195,3
Parthum Wan,13.74373,100.54257,Entire home/apt,3343,1,25,334,15
Bang Rak,13.73427,100.52155,Private room,1757,30,4,325,0
Khlong San,13.71303,100.50001,Entire home/apt,1500,2,3,32,0
Vadhana,13.7427,100.57013,Entire home/apt,1100,14,41,124,10
Vadhana,13.74582,100.5633,Entire home/apt,1850,50,159,365,0
Vadhana,13.73094,100.5954,Private room,630,1,45,349,0
Dusit,13.76007,100.51349,Entire home/apt,1200,14,57,185,3
Vadhana,13.73053,100.59591,Hotel room,859,1,35,349,2
Vadhana,13.73198,100.59549,Private room,800,1,12,164,1
Khlong Toei,13.70991,100.59164,Entire home/apt,800,15,130,266,4
Vadhana,13.73537,100.58466,Entire home/apt,3071,2,50,182,0
Suanluang,13.73754,100.63129,Private room,700,1,37,364,0
Khlong Toei,13.72402,100.57832,Entire home/apt,2036,5,20,339,7
Sathon,13.71937,100.53883,Entire home/apt,800,30,21,211,4
Huai Khwang,13.77496,100.57364,Entire home/apt,1351,1,181,145,0
Din Daeng,13.764796257019045,100.56478118896484,Entire home/apt,990,1,302,360,277
Phra Nakhon,13.74941,100.49719,Private room,3892,1,2,363,0
Vadhana,13.74474,100.55718,Private room,1250,30,1,179,0
Phra Nakhon,13.7477,100.49783,Hotel room,3910,1,10,347,2
Chatu Chak,13.80406,100.57064,Private room,517,15,0,330,0
Suanluang,13.70719,100.60582,Private room,1700,1,0,365,0
Khlong Toei,13.71762,100.57892,Private room,5000,31,0,358,0
Sathon,13.71882,100.54796,Entire home/apt,2650,1,16,181,0
Sathon,13.71959,100.5486,Entire home/apt,3067,1,183,272,5
Din Daeng,13.79827,100.57379,Private room,2200,3,0,364,0
Parthum Wan,13.74468,100.543,Private room,1586,1,15,362,0
Bang Khen,13.86789,100.60451,Entire home/apt,1200,1,34,330,2
Thon buri,13.71066,100.48007,Entire home/apt,907,5,6,325,1
Vadhana,13.73256,100.59577,Hotel room,650,1,24,349,0
Ratchathewi,13.75018,100.53277,Entire home/apt,1150,3,73,313,7
Phaya Thai,13.78898,100.54582,Entire home/apt,1905,3,33,330,0
Chatu Chak,13.80646,100.56226,Entire home/apt,2211,1,8,131,0
Khlong Toei,13.71097,100.58523,Private room,1000,3,0,362,0
Khlong San,13.71331,100.49882,Entire home/apt,1450,24,17,326,1
Khlong Toei,13.706226,100.598396,Entire home/apt,1436,3,37,210,5
Din Daeng,13.79031,100.57423,Entire home/apt,1200,3,24,360,0
Bang Rak,13.7293,100.52908,Entire home/apt,1500,180,14,358,0
Bang Na,13.68005,100.60938,Entire home/apt,799,7,38,350,0
Bang Sue,13.81936,100.53637,Entire home/apt,866,7,36,361,0
Phasi Charoen,13.71067,100.452,Entire home/apt,825,7,3,365,0
Pra Wet,13.67571,100.65415,Entire home/apt,1200,2,0,365,0
Bang Rak,13.73215,100.5214,Private room,1800,30,3,233,0
Sathon,13.72062,100.54707,Entire home/apt,593,1,103,301,6
Phra Nakhon,13.75989,100.4999,Shared room,496,1,31,362,0
Phra Khanong,13.68585,100.61037,Entire home/apt,999,3,36,271,0
Khlong San,13.72297,100.50815,Entire home/apt,500,360,9,365,0
Parthum Wan,13.74763,100.5283,Private room,2000,7,20,330,0
Chatu Chak,13.83442,100.57082,Private room,1100,7,0,365,0
Parthum Wan,13.74124,100.53352,Entire home/apt,4258,1,0,365,0
Khlong Toei,13.70408,100.59999,Entire home/apt,2078,180,0,181,0
Phra Khanong,13.68494,100.60537,Entire home/apt,744,30,32,142,0
Parthum Wan,13.74699,100.54616,Entire home/apt,3500,180,70,364,0
Chatu Chak,13.80786,100.57013,Entire home/apt,1860,3,332,307,26
Din Daeng,13.78905,100.57354,Private room,600,2,26,174,0
Pra Wet,13.70489,100.66969,Private room,699,2,0,180,0
Pra Wet,13.70675,100.67085,Private room,699,1,0,365,0
Yan na wa,13.69589,100.53495,Entire home/apt,1500,1,0,365,0
